ticket_id,created_at,channel,category,subcategory,priority,assigned_agent_id,first_response_at,resolved_at,status,requester_type,sla_policy_id,first_response_mins,resolution_mins,sla_first_response_met,sla_resolution_met
T000041,09-02-2026 04:01,Chat,How-To,Feature Guidance,P4,A008,09-02-2026 11:36,12-02-2026 15:00,Resolved,Partner,SLA_P4,455,4979,TRUE,TRUE
T000042,09-01-2026 10:16,Web,Access & Login,Password Reset,P3,A001,09-01-2026 13:40,12-01-2026 05:50,Resolved,Customer,SLA_P3,204,4054,TRUE,FALSE
T000043,25-01-2026 03:58,Email,Bug,UI Bug,P4,A005,25-01-2026 10:32,26-01-2026 05:27,Resolved,Customer,SLA_P4,394,1529,TRUE,TRUE
T000044,17-12-2025 15:36,Email,Access & Login,SSO Setup,P4,A001,17-12-2025 21:53,21-12-2025 13:32,Resolved,Internal,SLA_P4,377,5636,TRUE,TRUE
T000045,23-01-2026 22:35,Email,Access & Login,SSO Setup,P3,A012,24-01-2026 01:10,,Open,Customer,SLA_P3,155,,TRUE,FALSE
T000046,24-12-2025 09:06,Chat,Billing,Invoice Request,P4,A004,24-12-2025 15:28,26-12-2025 08:07,Resolved,Internal,SLA_P4,382,2821,TRUE,TRUE
T000047,18-12-2025 10:24,Chat,Access & Login,MFA Issue,P3,A004,18-12-2025 12:41,20-12-2025 18:45,Resolved,Internal,SLA_P3,137,3381,TRUE,FALSE
T000048,20-12-2025 03:52,Email,Access & Login,SSO Setup,P3,A002,20-12-2025 08:40,,Pending,Customer,SLA_P3,288,,FALSE,FALSE
T000049,26-01-2026 14:15,Email,How-To,Feature Guidance,P3,A003,26-01-2026 16:41,27-01-2026 10:59,Resolved,Internal,SLA_P3,146,1244,TRUE,TRUE
T000050,16-01-2026 13:56,Chat,Access & Login,SSO Setup,P4,A009,16-01-2026 15:37,20-01-2026 07:33,Resolved,Customer,SLA_P4,101,5377,TRUE,TRUE
T000051,02-01-2026 01:56,Web,Bug,Integration Error,P3,A007,02-01-2026 07:24,03-01-2026 23:10,Resolved,Customer,SLA_P3,328,2714,FALSE,TRUE
T000052,20-12-2025 14:30,Email,Bug,UI Bug,P3,A003,20-12-2025 15:49,20-12-2025 17:11,Resolved,Customer,SLA_P3,79,161,TRUE,TRUE
T000053,08-01-2026 12:38,Email,Bug,UI Bug,P3,A004,08-01-2026 15:59,09-01-2026 21:18,Resolved,Customer,SLA_P3,201,1960,TRUE,TRUE
T000054,19-01-2026 05:29,Email,Bug,Data Mismatch,P3,A008,19-01-2026 11:12,21-01-2026 01:29,Resolved,Internal,SLA_P3,343,2640,FALSE,TRUE
T000055,21-01-2026 13:27,Web,Bug,Integration Error,P4,A008,21-01-2026 20:57,23-01-2026 15:37,Resolved,Partner,SLA_P4,450,3010,TRUE,TRUE
T000056,17-12-2025 11:59,Email,Access & Login,Password Reset,P3,A009,17-12-2025 14:39,19-12-2025 20:49,Resolved,Internal,SLA_P3,160,3410,TRUE,FALSE
T000057,04-01-2026 01:08,Email,How-To,Feature Guidance,P3,A006,04-01-2026 03:22,04-01-2026 14:05,Resolved,Internal,SLA_P3,134,777,TRUE,TRUE
T000058,14-01-2026 02:30,Web,Billing,Payment Failed,P4,A003,14-01-2026 08:28,,Open,Internal,SLA_P4,358,,TRUE,FALSE
T000059,26-01-2026 07:47,Chat,Access & Login,MFA Issue,P4,A013,26-01-2026 10:32,27-01-2026 11:49,Resolved,Customer,SLA_P4,165,1682,TRUE,TRUE
T000060,23-01-2026 01:21,Email,Access & Login,Password Reset,P4,A001,23-01-2026 10:38,25-01-2026 11:57,Resolved,Customer,SLA_P4,557,3516,FALSE,TRUE
T000061,10-01-2026 00:38,Web,Billing,Invoice Request,P3,A005,10-01-2026 05:08,10-01-2026 05:13,Resolved,Customer,SLA_P3,270,275,FALSE,TRUE
T000062,31-12-2025 03:10,Phone,Bug,UI Bug,P3,A012,31-12-2025 05:28,31-12-2025 13:00,Resolved,Customer,SLA_P3,138,590,TRUE,TRUE
T000063,29-01-2026 18:34,Email,Bug,Data Mismatch,P4,A012,30-01-2026 00:23,01-02-2026 06:53,Resolved,Internal,SLA_P4,349,3619,TRUE,TRUE
T000064,22-12-2025 05:02,Email,Bug,Integration Error,P2,A001,22-12-2025 05:52,22-12-2025 15:15,Resolved,Customer,SLA_P2,50,613,TRUE,TRUE
T000065,07-01-2026 21:54,Email,Access & Login,MFA Issue,P3,A014,08-01-2026 01:05,,Open,Customer,SLA_P3,191,,TRUE,FALSE
T000066,25-12-2025 05:12,Chat,Bug,Integration Error,P3,A015,25-12-2025 07:58,25-12-2025 08:03,Resolved,Partner,SLA_P3,166,171,TRUE,TRUE
T000067,29-01-2026 16:27,Phone,Access & Login,MFA Issue,P3,A011,29-01-2026 17:40,31-01-2026 00:41,Resolved,Internal,SLA_P3,73,1934,TRUE,TRUE
T000068,21-12-2025 10:26,Email,How-To,API Usage,P4,A001,21-12-2025 13:44,23-12-2025 19:05,Resolved,Customer,SLA_P4,198,3399,TRUE,TRUE
T000069,22-12-2025 10:22,Web,Outage,Service Down,P3,A007,22-12-2025 15:00,23-12-2025 19:04,Resolved,Customer,SLA_P3,278,1962,FALSE,TRUE
T000070,30-12-2025 23:10,Phone,Billing,Payment Failed,P2,A006,30-12-2025 23:45,30-12-2025 23:50,Resolved,Customer,SLA_P2,35,40,TRUE,TRUE
T000071,21-12-2025 13:21,Web,How-To,Feature Guidance,P3,A001,21-12-2025 18:10,,Pending,Customer,SLA_P3,289,,FALSE,FALSE
T000072,30-12-2025 18:41,Email,How-To,API Usage,P4,A004,30-12-2025 19:36,04-01-2026 19:25,Resolved,Customer,SLA_P4,55,7244,TRUE,FALSE
T000073,29-12-2025 06:13,Email,Billing,Invoice Request,P4,A005,29-12-2025 09:52,01-01-2026 22:28,Resolved,Customer,SLA_P4,219,5295,TRUE,TRUE
T000074,10-01-2026 23:46,Phone,Billing,Payment Failed,P3,A009,11-01-2026 02:30,11-01-2026 02:35,Resolved,Partner,SLA_P3,164,169,TRUE,TRUE
T000075,23-12-2025 05:01,Web,Access & Login,Password Reset,P2,A006,23-12-2025 05:59,23-12-2025 17:27,Resolved,Customer,SLA_P2,58,746,TRUE,FALSE
T000076,10-02-2026 18:55,Email,Outage,Latency,P3,A008,10-02-2026 21:33,12-02-2026 09:26,Resolved,Customer,SLA_P3,158,2311,TRUE,TRUE
T000077,16-01-2026 10:50,Email,Bug,Integration Error,P3,A012,16-01-2026 14:07,17-01-2026 13:59,Resolved,Partner,SLA_P3,197,1629,TRUE,TRUE
T000078,01-01-2026 23:33,Email,Billing,Invoice Request,P3,A004,02-01-2026 02:22,04-01-2026 06:15,Resolved,Internal,SLA_P3,169,3282,TRUE,FALSE
T000079,31-01-2026 12:26,Web,How-To,API Usage,P4,A014,31-01-2026 18:01,04-02-2026 18:20,Resolved,Customer,SLA_P4,335,6114,TRUE,FALSE
T000080,09-01-2026 15:05,Web,Bug,Data Mismatch,P2,A015,09-01-2026 15:41,09-01-2026 22:33,Resolved,Customer,SLA_P2,36,448,TRUE,TRUE
T000081,10-02-2026 14:04,Email,Bug,Integration Error,P2,A005,10-02-2026 14:32,,Pending,Customer,SLA_P2,28,,TRUE,FALSE
T000082,10-01-2026 22:57,Email,Bug,UI Bug,P2,A005,10-01-2026 23:25,11-01-2026 08:53,Resolved,Customer,SLA_P2,28,596,TRUE,TRUE
T000083,21-12-2025 17:22,Chat,Bug,Data Mismatch,P4,A012,21-12-2025 21:57,25-12-2025 12:53,Resolved,Customer,SLA_P4,275,5491,TRUE,TRUE
T000084,07-02-2026 20:24,Chat,Billing,Refund,P4,A008,07-02-2026 22:50,10-02-2026 18:30,Resolved,Customer,SLA_P4,146,4206,TRUE,TRUE
T000085,17-12-2025 21:56,Email,Outage,Service Down,P1,A001,17-12-2025 22:15,17-12-2025 22:44,Resolved,Customer,SLA_P1,19,48,TRUE,TRUE
T000086,12-01-2026 12:43,Chat,How-To,Report Setup,P3,A005,12-01-2026 17:00,14-01-2026 06:00,Resolved,Customer,SLA_P3,257,2477,FALSE,TRUE
T000087,04-02-2026 04:51,Web,Outage,Latency,P2,A007,04-02-2026 06:08,04-02-2026 20:57,Resolved,Customer,SLA_P2,77,966,FALSE,FALSE
T000088,23-12-2025 21:49,Phone,Access & Login,Password Reset,P3,A010,24-12-2025 00:35,25-12-2025 07:57,Resolved,Customer,SLA_P3,166,2048,TRUE,TRUE
T000089,03-01-2026 01:23,Email,How-To,API Usage,P4,A011,03-01-2026 10:14,06-01-2026 07:25,Resolved,Customer,SLA_P4,531,4682,FALSE,TRUE
T000090,29-12-2025 04:14,Email,Access & Login,Password Reset,P3,A002,29-12-2025 07:10,30-12-2025 18:47,Resolved,Customer,SLA_P3,176,2313,TRUE,TRUE
T000091,12-02-2026 12:09,Chat,How-To,Report Setup,P4,A014,12-02-2026 14:40,,Pending,Customer,SLA_P4,151,,TRUE,FALSE
T000092,22-12-2025 22:07,Chat,Access & Login,Password Reset,P3,A003,23-12-2025 01:35,24-12-2025 06:49,Resolved,Internal,SLA_P3,208,1962,TRUE,TRUE
T000093,28-12-2025 21:02,Chat,How-To,Feature Guidance,P4,A011,29-12-2025 01:33,29-12-2025 13:50,Resolved,Customer,SLA_P4,271,1008,TRUE,TRUE
T000094,08-02-2026 10:53,Email,Bug,Data Mismatch,P3,A015,08-02-2026 14:12,09-02-2026 19:38,Resolved,Internal,SLA_P3,199,1965,TRUE,TRUE
T000095,20-12-2025 15:27,Email,Access & Login,SSO Setup,P4,A003,20-12-2025 22:07,22-12-2025 00:50,Resolved,Partner,SLA_P4,400,2003,TRUE,TRUE
T000096,05-02-2026 19:11,Web,Bug,Integration Error,P4,A010,06-02-2026 02:36,11-02-2026 01:22,Resolved,Customer,SLA_P4,445,7571,TRUE,FALSE
T000097,27-01-2026 20:50,Web,How-To,Feature Guidance,P3,A002,28-01-2026 02:03,29-01-2026 10:47,Resolved,Internal,SLA_P3,313,2277,FALSE,TRUE
T000098,12-02-2026 06:45,Chat,Billing,Refund,P3,A006,12-02-2026 10:02,13-02-2026 02:01,Resolved,Internal,SLA_P3,197,1156,TRUE,TRUE
T000099,20-01-2026 12:35,Web,Access & Login,MFA Issue,P3,A006,20-01-2026 15:53,22-01-2026 14:38,Resolved,Customer,SLA_P3,198,3003,TRUE,FALSE
T000100,17-12-2025 19:20,Web,Access & Login,MFA Issue,P4,A009,18-12-2025 00:28,22-12-2025 02:30,Resolved,Customer,SLA_P4,308,6190,TRUE,FALSE
T000101,05-02-2026 20:41,Chat,Billing,Invoice Request,P3,A001,05-02-2026 23:50,07-02-2026 05:49,Resolved,Customer,SLA_P3,189,1988,TRUE,TRUE
T000102,06-02-2026 00:24,Email,How-To,Report Setup,P4,A012,06-02-2026 08:23,07-02-2026 11:24,Resolved,Customer,SLA_P4,479,2100,TRUE,TRUE
T000103,07-02-2026 02:21,Email,Billing,Invoice Request,P2,A009,07-02-2026 02:39,07-02-2026 08:36,Resolved,Customer,SLA_P2,18,375,TRUE,TRUE
T000104,15-01-2026 06:14,Email,How-To,Report Setup,P4,A008,15-01-2026 13:14,16-01-2026 03:51,Resolved,Customer,SLA_P4,420,1297,TRUE,TRUE
T000105,28-01-2026 02:35,Phone,Access & Login,MFA Issue,P3,A015,28-01-2026 04:26,28-01-2026 07:35,Resolved,Internal,SLA_P3,111,300,TRUE,TRUE
T000106,25-12-2025 16:04,Email,Bug,Integration Error,P3,A014,25-12-2025 20:16,28-12-2025 09:55,Resolved,Customer,SLA_P3,252,3951,FALSE,FALSE
T000107,26-01-2026 14:45,Email,Access & Login,Password Reset,P4,A015,26-01-2026 19:32,29-01-2026 07:30,Resolved,Customer,SLA_P4,287,3885,TRUE,TRUE
T000108,11-01-2026 02:14,Chat,Access & Login,MFA Issue,P3,A003,11-01-2026 05:51,13-01-2026 15:53,Resolved,Customer,SLA_P3,217,3699,TRUE,FALSE
T000109,10-02-2026 03:14,Chat,Billing,Payment Failed,P3,A001,10-02-2026 05:51,12-02-2026 03:11,Resolved,Customer,SLA_P3,157,2877,TRUE,TRUE
T000110,19-12-2025 07:19,Email,Access & Login,MFA Issue,P4,A003,19-12-2025 07:20,19-12-2025 23:01,Resolved,Customer,SLA_P4,1,942,TRUE,TRUE
T000111,02-02-2026 02:21,Web,Access & Login,SSO Setup,P4,A006,02-02-2026 13:39,05-02-2026 07:17,Resolved,Customer,SLA_P4,678,4616,FALSE,TRUE
T000112,02-02-2026 15:21,Web,Bug,UI Bug,P2,A009,02-02-2026 16:06,02-02-2026 23:00,Resolved,Customer,SLA_P2,45,459,TRUE,TRUE
T000113,12-02-2026 14:27,Email,Bug,Data Mismatch,P4,A006,12-02-2026 18:21,14-02-2026 03:38,Resolved,Customer,SLA_P4,234,2231,TRUE,TRUE
T000114,02-01-2026 04:10,Chat,Outage,Latency,P2,A009,02-01-2026 04:57,,Open,Customer,SLA_P2,47,,TRUE,FALSE
T000115,25-12-2025 15:13,Web,Outage,Latency,P2,A008,25-12-2025 16:16,26-12-2025 08:52,Resolved,Customer,SLA_P2,63,1059,FALSE,FALSE
T000116,28-01-2026 02:00,Email,How-To,API Usage,P4,A011,28-01-2026 09:43,30-01-2026 22:07,Resolved,Customer,SLA_P4,463,4087,TRUE,TRUE
T000117,07-02-2026 10:12,Email,Access & Login,SSO Setup,P4,A002,07-02-2026 15:24,,Open,Customer,SLA_P4,312,,TRUE,FALSE
T000118,01-02-2026 07:12,Phone,Billing,Invoice Request,P4,A003,01-02-2026 10:49,02-02-2026 21:35,Resolved,Internal,SLA_P4,217,2303,TRUE,TRUE
T000119,22-12-2025 18:16,Chat,Access & Login,SSO Setup,P4,A009,22-12-2025 22:18,22-12-2025 22:23,Resolved,Partner,SLA_P4,242,247,TRUE,TRUE
T000120,02-01-2026 11:06,Email,Billing,Refund,P4,A009,02-01-2026 15:59,05-01-2026 09:03,Resolved,Partner,SLA_P4,293,4197,TRUE,TRUE
T000121,16-12-2025 09:26,Email,How-To,Report Setup,P4,A005,16-12-2025 16:54,19-12-2025 10:38,Resolved,Partner,SLA_P4,448,4392,TRUE,TRUE
T000122,01-02-2026 13:10,Web,How-To,Report Setup,P4,A001,01-02-2026 19:20,04-02-2026 21:37,Resolved,Partner,SLA_P4,370,4827,TRUE,TRUE
T000123,28-01-2026 16:47,Chat,Bug,Data Mismatch,P3,A005,28-01-2026 19:39,29-01-2026 22:01,Resolved,Customer,SLA_P3,172,1754,TRUE,TRUE
T000124,23-01-2026 10:42,Web,Access & Login,SSO Setup,P3,A007,23-01-2026 15:31,25-01-2026 05:18,Resolved,Customer,SLA_P3,289,2556,FALSE,TRUE
T000125,31-01-2026 20:24,Email,Outage,Service Down,P1,A003,31-01-2026 20:45,01-02-2026 03:11,Resolved,Customer,SLA_P1,21,407,TRUE,FALSE
T000126,01-01-2026 09:04,Email,How-To,API Usage,P3,A008,01-01-2026 11:38,01-01-2026 23:54,Resolved,Customer,SLA_P3,154,890,TRUE,TRUE
T000127,06-02-2026 02:10,Email,Bug,UI Bug,P3,A008,06-02-2026 05:21,07-02-2026 06:21,Resolved,Customer,SLA_P3,191,1691,TRUE,TRUE
T000128,16-12-2025 21:45,Email,Outage,Latency,P2,A005,16-12-2025 22:39,17-12-2025 10:26,Resolved,Customer,SLA_P2,54,761,TRUE,FALSE
T000129,11-01-2026 16:08,Email,How-To,API Usage,P4,A013,11-01-2026 23:53,16-01-2026 12:59,Resolved,Internal,SLA_P4,465,7011,TRUE,FALSE
T000130,25-12-2025 01:02,Web,How-To,Feature Guidance,P3,A005,25-12-2025 04:42,,Open,Customer,SLA_P3,220,,TRUE,FALSE
T000131,24-12-2025 05:04,Email,Access & Login,MFA Issue,P4,A010,24-12-2025 10:51,26-12-2025 19:23,Resolved,Internal,SLA_P4,347,3739,TRUE,TRUE
T000132,31-12-2025 02:30,Chat,Access & Login,SSO Setup,P3,A009,31-12-2025 04:57,01-01-2026 11:10,Resolved,Internal,SLA_P3,147,1960,TRUE,TRUE
T000133,28-01-2026 06:25,Phone,Billing,Refund,P3,A004,28-01-2026 08:31,29-01-2026 22:50,Resolved,Customer,SLA_P3,126,2425,TRUE,TRUE
T000134,04-01-2026 05:38,Email,Billing,Invoice Request,P4,A013,04-01-2026 10:27,08-01-2026 01:36,Resolved,Internal,SLA_P4,289,5518,TRUE,TRUE
T000135,23-12-2025 05:35,Web,How-To,Feature Guidance,P3,A003,23-12-2025 08:30,24-12-2025 21:00,Resolved,Partner,SLA_P3,175,2365,TRUE,TRUE
T000136,15-12-2025 09:18,Chat,How-To,Feature Guidance,P3,A008,15-12-2025 10:29,15-12-2025 10:34,Resolved,Internal,SLA_P3,71,76,TRUE,TRUE
T000137,17-12-2025 23:13,Email,How-To,Feature Guidance,P4,A009,18-12-2025 05:59,21-12-2025 10:22,Resolved,Internal,SLA_P4,406,4989,TRUE,TRUE
T000138,11-01-2026 00:39,Chat,Access & Login,MFA Issue,P3,A009,11-01-2026 03:26,12-01-2026 19:41,Resolved,Customer,SLA_P3,167,2582,TRUE,TRUE
T000139,06-02-2026 16:05,Chat,Outage,Latency,P1,A001,06-02-2026 16:27,06-02-2026 16:49,Resolved,Customer,SLA_P1,22,44,TRUE,TRUE
T000140,16-12-2025 14:51,Email,Bug,UI Bug,P3,A002,16-12-2025 17:10,17-12-2025 18:42,Resolved,Customer,SLA_P3,139,1671,TRUE,TRUE
T000141,23-12-2025 01:57,Email,Billing,Payment Failed,P3,A010,23-12-2025 04:45,24-12-2025 05:06,Resolved,Customer,SLA_P3,168,1629,TRUE,TRUE
T000142,29-01-2026 04:32,Email,Access & Login,Password Reset,P4,A015,29-01-2026 13:14,01-02-2026 15:28,Resolved,Customer,SLA_P4,522,4976,FALSE,TRUE
T000143,29-01-2026 06:09,Email,Billing,Refund,P3,A015,29-01-2026 09:44,30-01-2026 12:15,Resolved,Customer,SLA_P3,215,1806,TRUE,TRUE
T000144,03-01-2026 13:29,Chat,Billing,Refund,P3,A012,03-01-2026 15:54,05-01-2026 07:45,Resolved,Partner,SLA_P3,145,2536,TRUE,TRUE
T000145,19-01-2026 02:02,Email,Bug,Data Mismatch,P3,A006,19-01-2026 06:07,20-01-2026 19:15,Resolved,Internal,SLA_P3,245,2473,FALSE,TRUE
T000146,01-02-2026 02:57,Email,Bug,Integration Error,P3,A006,01-02-2026 06:16,02-02-2026 05:53,Resolved,Customer,SLA_P3,199,1616,TRUE,TRUE
T000147,11-01-2026 17:01,Email,Access & Login,Password Reset,P4,A003,11-01-2026 23:13,15-01-2026 16:05,Resolved,Customer,SLA_P4,372,5704,TRUE,TRUE
T000148,29-01-2026 11:46,Email,Outage,Partial Degradation,P2,A002,29-01-2026 12:55,30-01-2026 04:17,Resolved,Internal,SLA_P2,69,991,FALSE,FALSE
T000149,24-01-2026 03:17,Web,Access & Login,MFA Issue,P4,A001,24-01-2026 10:38,27-01-2026 01:24,Resolved,Customer,SLA_P4,441,4207,TRUE,TRUE
T000150,24-12-2025 01:29,Chat,Access & Login,SSO Setup,P4,A015,24-12-2025 06:14,29-12-2025 00:35,Resolved,Customer,SLA_P4,285,7146,TRUE,FALSE
T000151,03-01-2026 20:13,Email,How-To,Report Setup,P4,A008,04-01-2026 03:59,04-01-2026 16:35,Resolved,Customer,SLA_P4,466,1222,TRUE,TRUE
T000152,04-02-2026 02:10,Chat,Billing,Invoice Request,P3,A006,04-02-2026 05:21,05-02-2026 05:38,Resolved,Internal,SLA_P3,191,1648,TRUE,TRUE
T000153,01-02-2026 15:47,Chat,Billing,Invoice Request,P3,A007,01-02-2026 19:01,02-02-2026 11:37,Resolved,Customer,SLA_P3,194,1190,TRUE,TRUE
T000154,26-01-2026 08:47,Web,Bug,UI Bug,P3,A007,26-01-2026 11:17,27-01-2026 18:41,Resolved,Customer,SLA_P3,150,2034,TRUE,TRUE
T000155,25-01-2026 09:46,Chat,Bug,Integration Error,P3,A008,25-01-2026 12:02,27-01-2026 07:07,Resolved,Customer,SLA_P3,136,2721,TRUE,TRUE
T000156,26-12-2025 03:27,Web,How-To,Report Setup,P4,A004,26-12-2025 11:25,01-01-2026 21:50,Resolved,Customer,SLA_P4,478,9743,TRUE,FALSE
T000157,19-12-2025 20:15,Email,Access & Login,Password Reset,P4,A009,20-12-2025 07:06,23-12-2025 04:32,Resolved,Customer,SLA_P4,651,4817,FALSE,TRUE
T000158,16-01-2026 16:58,Web,Outage,Service Down,P3,A014,16-01-2026 21:01,19-01-2026 23:23,Resolved,Customer,SLA_P3,243,4705,FALSE,FALSE
